fold,n_train,n_test,cnn_time,cnn_acc,cnn_f1,fair_time,fair_acc,fair_f1,qnn_time,qnn_acc,qnn_f1,majority_baseline,random_baseline,class_a,class_b,repeat
2,200,75,1.8884406089782715,0.9866666666666667,0.9841269841269842,0.6131579875946045,0.7066666666666667,0.4140625,105.91850304603577,0.7066666666666667,0.4140625,0.7066666666666667,0.5,conochilus,keratella_cochlearis,0
3,200,75,2.0001049041748047,0.9866666666666667,0.9841269841269842,0.6121349334716797,0.7066666666666667,0.4140625,105.96824955940247,0.7066666666666667,0.4140625,0.7066666666666667,0.5,conochilus,keratella_cochlearis,0
4,200,75,1.3096704483032227,0.9866666666666667,0.9841269841269842,0.5921893119812012,0.6266666666666667,0.6064467766116941,105.83926677703857,0.6933333333333334,0.4094488188976378,0.6933333333333334,0.5,conochilus,keratella_cochlearis,0
0,200,104,1.958712100982666,0.9807692307692307,0.9807407407407407,0.597996711730957,0.5,0.3333333333333333,21.425847053527832,0.6730769230769231,0.6605222734254993,0.5096153846153846,0.5,conochilus,trichocerca,0
1,200,104,2.0318143367767334,0.9615384615384616,0.9615242323344433,0.3156471252441406,0.4519230769230769,0.3622377622377623,21.504066228866577,0.5,0.3646616541353383,0.5096153846153846,0.5,conochilus,trichocerca,0
2,200,104,1.8144009113311768,0.9519230769230769,0.951811694930961,0.3228566646575928,0.5673076923076923,0.4780863164938106,105.71544981002808,0.5096153846153846,0.3375796178343949,0.5096153846153846,0.5,conochilus,trichocerca,0
3,200,104,1.9755609035491943,0.9711538461538461,0.9711298232627,0.5782904624938965,0.5096153846153846,0.3375796178343949,21.346755027770996,0.5096153846153846,0.3375796178343949,0.5096153846153846,0.5,conochilus,trichocerca,0
4,200,103,1.1430037021636963,0.9805825242718447,0.980566037735849,0.599694013595581,0.4854368932038835,0.32679738562091504,21.36737895011902,0.4854368932038835,0.326797385620915,0.5048543689320388,0.5,conochilus,trichocerca,0
0,200,277,1.2088074684143066,0.8158844765342961,0.8074422408505417,0.5791530609130859,0.628158844765343,0.3858093126385809,106.0907199382782,0.628158844765343,0.3858093126385809,0.628158844765343,0.5,cyclops,kellicottia,0
1,200,277,1.9881751537322998,0.8411552346570397,0.834635840659937,0.6072878837585449,0.6245487364620939,0.3844444444444444,106.31088137626648,0.6209386281588448,0.3830734966592428,0.6245487364620939,0.5,cyclops,kellicottia,0
2,200,277,1.9786961078643799,0.8375451263537906,0.8325159556600604,0.5780055522918701,0.6245487364620939,0.3844444444444444,105.45848298072815,0.6245487364620939,0.3844444444444444,0.6245487364620939,0.5,cyclops,kellicottia,0
3,200,277,1.996626377105713,0.8628158844765343,0.8519633213321331,0.6184630393981934,0.6245487364620939,0.3844444444444444,106.06902527809143,0.6245487364620939,0.3844444444444444,0.6245487364620939,0.5,cyclops,kellicottia,0
4,200,277,1.2376062870025635,0.7906137184115524,0.7799419241726935,0.6193718910217285,0.5812274368231047,0.44028706800445927,105.54940533638,0.6245487364620939,0.3844444444444444,0.6245487364620939,0.5,cyclops,kellicottia,0
0,200,248,1.4523475170135498,0.8508064516129032,0.8481171894397087,0.5796651840209961,0.5846774193548387,0.36895674300254455,105.97902917861938,0.5846774193548387,0.36895674300254455,0.5846774193548387,0.5,daphnia,kellicottia,0
1,200,248,1.9797120094299316,0.9193548387096774,0.9178100351295818,0.6031231880187988,0.5725806451612904,0.36410256410256414,105.76691484451294,0.5806451612903226,0.3673469387755102,0.5806451612903226,0.5,daphnia,kellicottia,0
2,200,248,1.9847290515899658,0.9153225806451613,0.9143068696009872,0.6128091812133789,0.5806451612903226,0.3673469387755102,105.46066308021545,0.5806451612903226,0.3673469387755102,0.5806451612903226,0.5,daphnia,kellicottia,0
3,200,248,1.9895198345184326,0.9193548387096774,0.9159379025150838,0.6239821910858154,0.5806451612903226,0.3673469387755102,105.46318769454956,0.5806451612903226,0.3673469387755102,0.5806451612903226,0.5,daphnia,kellicottia,0
4,200,248,1.998556137084961,0.9112903225806451,0.9099729390799286,0.6067297458648682,0.49193548387096775,0.47383309759547376,105.71211242675781,0.5806451612903226,0.3673469387755102,0.5806451612903226,0.5,daphnia,kellicottia,0
0,200,293,1.707322120666504,0.9453924914675768,0.9453765846383296,0.5962693691253662,0.5563139931740614,0.4454635453063126,105.76355838775635,0.8839590443686007,0.88356708742403,0.5051194539249146,0.5,daphnia,rotifers,0
1,200,293,1.982532262802124,0.9658703071672355,0.9658667287977634,0.6209983825683594,0.6040955631399317,0.5226940793169307,105.82838296890259,0.8156996587030717,0.8084503631961258,0.5085324232081911,0.5,daphnia,rotifers,0
2,200,293,1.9883110523223877,0.9863481228668942,0.9863403263403263,0.5923607349395752,0.856655290102389,0.8560499719258843,105.78887033462524,0.8737201365187713,0.8727178800793679,0.5085324232081911,0.5,daphnia,rotifers,0
3,200,293,1.9814386367797852,0.9658703071672355,0.9658029878618113,0.5986595153808594,0.43686006825938567,0.43517577371981353,105.2665958404541,0.6348122866894198,0.5844522499834317,0.5085324232081911,0.5,daphnia,rotifers,0
4,200,293,1.4748432636260986,0.9761092150170648,0.9761092150170648,0.5835690498352051,0.6006825938566553,0.5169308814204185,105.74650740623474,0.8703071672354948,0.8688389407218924,0.5085324232081911,0.5,daphnia,rotifers,0
0,200,966,0.890897274017334,0.6884057971014492,0.407725321888412,0.6007544994354248,0.6884057971014492,0.407725321888412,105.94523215293884,0.6884057971014492,0.407725321888412,0.6884057971014492,0.5,dinobryon,nauplius,0
1,200,966,2.0031795501708984,0.7929606625258799,0.7429757343550447,0.6009383201599121,0.6873706004140787,0.4073619631901841,105.98646545410156,0.6873706004140787,0.4073619631901841,0.6873706004140787,0.5,dinobryon,nauplius,0
2,200,966,2.006967782974243,0.8457556935817805,0.8007764974566595,0.5936310291290283,0.6873706004140787,0.4073619631901841,105.68067455291748,0.6873706004140787,0.4073619631901841,0.6873706004140787,0.5,dinobryon,nauplius,0
3,200,965,1.986814260482788,0.7844559585492228,0.7147631931970624,0.5865921974182129,0.6880829015544041,0.40761203192142414,105.77261161804199,0.6880829015544041,0.40761203192142414,0.6880829015544041,0.5,dinobryon,nauplius,0
4,200,965,1.999025583267212,0.7917098445595855,0.7144302075465865,0.6140096187591553,0.3015544041450777,0.30092305972587663,106.34657621383667,0.6880829015544041,0.40761203192142414,0.6880829015544041,0.5,dinobryon,nauplius,0
0,200,212,1.5497500896453857,0.8679245283018868,0.8674999999999999,0.5829706192016602,0.5330188679245284,0.4908667491448948,105.80891537666321,0.5141509433962265,0.34808180325421706,0.5094339622641509,0.5,eudiaptomus,kellicottia,0
1,200,211,1.3971240520477295,0.8578199052132701,0.8577911574406902,0.6035702228546143,0.5781990521327014,0.5462365591397849,105.78493404388428,0.5260663507109005,0.39228110599078336,0.5118483412322274,0.5,eudiaptomus,kellicottia,0
2,200,211,1.8311820030212402,0.8672985781990521,0.8672955974842766,0.611738920211792,0.5497630331753555,0.48264292166731193,105.45154929161072,0.5355450236966824,0.45982236154649947,0.5071090047393365,0.5,eudiaptomus,kellicottia,0
3,200,211,1.900251865386963,0.8815165876777251,0.8814739916863275,0.6048166751861572,0.5071090047393365,0.33647798742138363,21.27989625930786,0.4976303317535545,0.3322784810126582,0.5071090047393365,0.5,eudiaptomus,kellicottia,0
4,200,211,1.977318525314331,0.8957345971563981,0.8955445544554456,0.3665916919708252,0.4976303317535545,0.3404694503420618,21.387102365493774,0.5071090047393365,0.33647798742138363,0.5071090047393365,0.5,eudiaptomus,kellicottia,0
0,200,298,1.2957289218902588,0.9966442953020134,0.9963620826466459,0.5748882293701172,0.6375838926174496,0.38934426229508196,105.77842473983765,0.9563758389261745,0.9514408553629401,0.6375838926174496,0.5,eudiaptomus,uroglena,0
1,200,298,1.238281011581421,0.9932885906040269,0.9927673413911946,0.6194593906402588,0.6375838926174496,0.38934426229508196,105.68036127090454,0.9429530201342282,0.9358758528157158,0.6375838926174496,0.5,eudiaptomus,uroglena,0
2,200,298,1.5597553253173828,0.9899328859060402,0.9889948913645596,0.5864875316619873,0.7684563758389261,0.6884687059679104,105.65101385116577,0.9798657718120806,0.9778449643140364,0.6409395973154363,0.5,eudiaptomus,uroglena,0
